no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,unmatched_words
9161,2018-11-19T02:37:20.000Z,Menjadi wakil rakyat di DPR RI bukanlah hal yang patut dibanggakan apalagi di agungkan tetapi ada hal yang harus digaris bawahi adalah ketika kita bisa menyerap aspirasi rakyat bisa dekat dengan rakyat lalu saya tunaikan semua aspirasinya SudiroasnoNoHANURAJABARVIII,jadi wakil rakyat di DPR RI bukan hal yang patut bangga apalagi di agung tetapi ada hal yang harus gar bawah adalah ketika kita dapat serap aspirasi rakyat dapat dekat dengan rakyat lalu saya tunai semua aspirasi sudiroasnonohanurajabarvii,0.8,0.2,0.447213595499958,positive,"['jadi', 'wakil', 'rakyat', 'di', 'DPR', 'RI', 'bukan', 'hal', 'yang', 'patut', 'bangga', 'apalagi', 'di', 'agung', 'tetapi', 'ada', 'hal', 'yang', 'harus', 'gar', 'bawah', 'adalah', 'ketika', 'kita', 'dapat', 'serap', 'aspirasi', 'rakyat', 'dapat', 'dekat', 'dengan', 'rakyat', 'lalu', 'saya', 'tunai', 'semua', 'aspirasi', 'sudiroasnonohanurajabarvii']","['jadi', 'wakil', 'rakyat', 'DPR', 'RI', 'patut', 'bangga', 'ada', 'kita', 'dapat', 'aspirasi', 'rakyat', 'dapat', 'dekat', 'rakyat', 'lalu', 'tunai', 'semua', 'aspirasi']","['di', 'hal', 'apalagi', 'di', 'agung', 'tetapi', 'hal', 'gar', 'bawah', 'adalah', 'ketika', 'serap', 'dengan', 'sudiroasnonohanurajabarvii']"
9187,2018-11-16T11:51:13.000Z,Reses dpr_ri di SMK Muhammadiyah Bandung asyik deh Sekolah ini punya jurusan Agribisnis salah satu pengembangannya berkebun jamur tiram Besar ya Bersih lagi Dan Begitu,reses dpr_ri di SMK muhammadiyah bandung asyik deh sekolah ini punya jurus agribisnis salah satu kembang kebun jamur tiram besar ya bersih lagi dan begitu,1.0,0.25,0.0,positive,"['reses', 'dpr_ri', 'di', 'SMK', 'muhammadiyah', 'bandung', 'asyik', 'deh', 'sekolah', 'ini', 'punya', 'jurus', 'agribisnis', 'salah', 'satu', 'kembang', 'kebun', 'jamur', 'tiram', 'besar', 'ya', 'bersih', 'lagi', 'dan', 'begitu']","['reses', 'dpr_ri', 'bandung', 'asyik', 'sekolah', 'punya', 'salah', 'satu', 'kembang', 'kebun', 'besar', 'bersih', 'lagi']","['di', 'SMK', 'muhammadiyah', 'deh', 'ini', 'jurus', 'agribisnis', 'jamur', 'tiram', 'dan', 'begitu']"
9190,2018-11-15T23:56:56.000Z,Warga Minta Diperjuangkan Yoseph Bangun Bendungan Cipanundan CIREBON Kegiatan reses di Kecamatan Waled Anggota Komisi DPR RI Dapil VIII Yoseph Umarhadi berdialog dan menyerap aspirasi para kepala desa pukul Dalam dialog dengan para,warga minta juang yoseph bangun bendung cipanundan CIREBON giat reses di camat waled anggota komisi DPR RI dapil VII yoseph umarhadi dialog dan serap aspirasi para kepala desa pukul dalam dialog dengan para,0.8,0.2,0.447213595499958,positive,"['warga', 'minta', 'juang', 'yoseph', 'bangun', 'bendung', 'cipanundan', 'CIREBON', 'giat', 'reses', 'di', 'camat', 'waled', 'anggota', 'komisi', 'DPR', 'RI', 'dapil', 'VII', 'yoseph', 'umarhadi', 'dialog', 'dan', 'serap', 'aspirasi', 'para', 'kepala', 'desa', 'pukul', 'dalam', 'dialog', 'dengan', 'para']","['warga', 'minta', 'juang', 'bendung', 'CIREBON', 'reses', 'anggota', 'komisi', 'DPR', 'RI', 'dapil', 'VII', 'dialog', 'aspirasi', 'para', 'kepala', 'desa', 'pukul', 'dalam', 'dialog', 'para']","['yoseph', 'bangun', 'cipanundan', 'giat', 'di', 'camat', 'waled', 'yoseph', 'umarhadi', 'dan', 'serap', 'dengan']"
9219,2018-11-12T12:17:01.000Z,Semoga didengar oleh para pemangku Kebijakan PLD,moga dengar oleh para mang kebijakan PLD,0.6,0.15,0.5477225575051662,positive,"['moga', 'dengar', 'oleh', 'para', 'mang', 'kebijakan', 'PLD']","['moga', 'dengar', 'para', 'kebijakan']","['mang', 'PLD']"
9222,2018-11-12T08:59:30.000Z,Rapat Paripurna Dewan Perwakilan Rakyat Daerah Kota Tangerang Selatan dalam rangka Jawaban Walikota Tangerang Selatan terhadap Pandangan Umum Fraksi Fraksi tentang Raperda APBD Tahun,rapat paripurna dewan wakil rakyat daerah kota tangerang selatan dalam rangka jawab walikota tangerang selatan hadap pandang umum partai partai tentang raperda APBD tahun,0.0,0.0,0.0,neutral,"['rapat', 'paripurna', 'dewan', 'wakil', 'rakyat', 'daerah', 'kota', 'tangerang', 'selatan', 'dalam', 'rangka', 'jawab', 'walikota', 'tangerang', 'selatan', 'hadap', 'pandang', 'umum', 'partai', 'partai', 'tentang', 'raperda', 'APBD', 'tahun']","['rapat', 'paripurna', 'dewan', 'wakil', 'rakyat', 'daerah', 'kota', 'tangerang', 'selatan', 'dalam', 'rangka', 'jawab', 'walikota', 'tangerang', 'selatan', 'pandang', 'umum', 'partai', 'partai', 'tentang', 'raperda', 'APBD', 'tahun']",['hadap']
9236,2018-11-10T05:17:38.000Z,Revisi undang undang penyiarannya gimana halloo udah bertahun tahun belum selesai,revisi undang undang siar bagaimana halloo sudah tahun tahun belum selesai,-1.8,-0.45,0.447213595499958,negative,"['revisi', 'undang', 'undang', 'siar', 'bagaimana', 'halloo', 'sudah', 'tahun', 'tahun', 'belum', 'selesai']","['revisi', 'undang', 'undang', 'tahun', 'tahun', 'selesai']","['siar', 'bagaimana', 'halloo', 'belum']"
9245,2018-11-09T11:44:58.000Z,Rapat Paripurna Dewan Perwakilan Rakyat Derah Provinsi Jawa Barat Jumat Agenda Perubahan Hasil Banmus Pengambilan Sumpah Janji Anggota DPRD Provinsi Jawa Barat Pengganti Antar Waktu PAW,rapat paripurna dewan wakil rakyat dah provinsi jawa barat jumat agenda ubah hasil banmus ambil sumpah janji anggota DPRD provinsi jawa barat ganti antar waktu PAW,0.0,0.0,0.0,neutral,"['rapat', 'paripurna', 'dewan', 'wakil', 'rakyat', 'dah', 'provinsi', 'jawa', 'barat', 'jumat', 'agenda', 'ubah', 'hasil', 'banmus', 'ambil', 'sumpah', 'janji', 'anggota', 'DPRD', 'provinsi', 'jawa', 'barat', 'ganti', 'antar', 'waktu', 'PAW']","['rapat', 'paripurna', 'dewan', 'wakil', 'rakyat', 'dah', 'provinsi', 'jawa', 'barat', 'jumat', 'agenda', 'hasil', 'ambil', 'sumpah', 'anggota', 'DPRD', 'provinsi', 'jawa', 'barat', 'ganti', 'waktu']","['ubah', 'banmus', 'janji', 'antar', 'PAW']"
9250,2018-11-09T04:39:56.000Z,Pak dan anggota TOLONG DONG BUAT RUU HUKUMAN MATI BAGI TERSANGKA KORUPTOR KLU ANDA GAK NGEREKEN RAKYAT YG INGIN INDONESIA BEBAS KORUPTOR KAMI RAKYAT YA GAK NGEREKEN ANDA SAK KAREPMU CIWIT APA DPR HijrahBersamaJokowi GantiPresiden,pak dan anggota TOLONG DONG BUAT RUU HUKUM MATI BAGI SANGKA KORUPTOR JIKA ANDA TIDAK NGEREKEN RAKYAT YANG INGIN INDONESIA BEBAS KORUPTOR KAMI RAKYAT YA TIDAK NGEREKEN ANDA SAK KAREPMU CIWIT APA DPR hijrahbersamajokowi gantipresiden,-1.6,-0.4,0.5477225575051661,negative,"['pak', 'dan', 'anggota', 'TOLONG', 'DONG', 'BUAT', 'RUU', 'HUKUM', 'MATI', 'BAGI', 'SANGKA', 'KORUPTOR', 'JIKA', 'ANDA', 'TIDAK', 'NGEREKEN', 'RAKYAT', 'YANG', 'INGIN', 'INDONESIA', 'BEBAS', 'KORUPTOR', 'KAMI', 'RAKYAT', 'YA', 'TIDAK', 'NGEREKEN', 'ANDA', 'SAK', 'KAREPMU', 'CIWIT', 'APA', 'DPR', 'hijrahbersamajokowi', 'gantipresiden']","['pak', 'anggota', 'TOLONG', 'BUAT', 'RUU', 'HUKUM', 'MATI', 'BAGI', 'SANGKA', 'KORUPTOR', 'RAKYAT', 'INDONESIA', 'BEBAS', 'KORUPTOR', 'RAKYAT', 'DPR', 'hijrahbersamajokowi']","['dan', 'DONG', 'JIKA', 'NGEREKEN', 'INGIN', 'KAMI', 'NGEREKEN', 'SAK', 'KAREPMU', 'CIWIT', 'gantipresiden']"
9279,2018-11-07T12:02:32.000Z,GITU MAU DI BUBARKAN SAMA ANGGOTA WONG ADA AJA BANYAK PEJABAT YG KORUPTOR APA LAGI GAK ADA MAU indonesia JADI SARANG KORUPTOR APA BUAT RUU HUKUMAN MATI BAGI TERSANGKA KORUPTOR,BEGITU MAU DI BUBAR SAMA ANGGOTA WONG ADA SAJA BANYAK JABATAN YANG KORUPTOR APA LAGI TIDAK ADA MAU indonesia JADI SARANG KORUPTOR APA BUAT RUU HUKUM MATI BAGI SANGKA KORUPTOR,-1.6,-0.4,0.5477225575051661,negative,"['BEGITU', 'MAU', 'DI', 'BUBAR', 'SAMA', 'ANGGOTA', 'WONG', 'ADA', 'SAJA', 'BANYAK', 'JABATAN', 'YANG', 'KORUPTOR', 'APA', 'LAGI', 'TIDAK', 'ADA', 'MAU', 'indonesia', 'JADI', 'SARANG', 'KORUPTOR', 'APA', 'BUAT', 'RUU', 'HUKUM', 'MATI', 'BAGI', 'SANGKA', 'KORUPTOR']","['MAU', 'SAMA', 'ANGGOTA', 'ADA', 'SAJA', 'BANYAK', 'JABATAN', 'KORUPTOR', 'LAGI', 'ADA', 'MAU', 'indonesia', 'JADI', 'KORUPTOR', 'BUAT', 'RUU', 'HUKUM', 'MATI', 'BAGI', 'SANGKA', 'KORUPTOR']","['BEGITU', 'DI', 'BUBAR', 'WONG', 'SARANG']"
9292,2018-11-05T09:00:00.000Z,Suyoto atau akrab disapa Kang Yoto merupakan Bupati Bojonegoro dua periode Maju menjadi Caleg DPR RI Partai NasDem Dapil Jawa Timur IX menjadi langkah yang di tempuh Kang Yoto untuk berjuang mewakili aspirasi rakyat NasDemAntiMahar PolitikTanpaMahar,suyoto atau akrab sapa kang yoto rupa bupati bojonegoro dua periode maju jadi caleg DPR RI partai nasdem dapil jawa timur IX jadi langkah yang di tempuh kang yoto untuk juang wakil aspirasi rakyat nasdemantimahar politiktanpamahar,0.8,0.2,0.447213595499958,positive,"['suyoto', 'atau', 'akrab', 'sapa', 'kang', 'yoto', 'rupa', 'bupati', 'bojonegoro', 'dua', 'periode', 'maju', 'jadi', 'caleg', 'DPR', 'RI', 'partai', 'nasdem', 'dapil', 'jawa', 'timur', 'IX', 'jadi', 'langkah', 'yang', 'di', 'tempuh', 'kang', 'yoto', 'untuk', 'juang', 'wakil', 'aspirasi', 'rakyat', 'nasdemantimahar', 'politiktanpamahar']","['akrab', 'rupa', 'bupati', 'bojonegoro', 'dua', 'periode', 'maju', 'jadi', 'caleg', 'DPR', 'RI', 'partai', 'nasdem', 'dapil', 'jawa', 'IX', 'jadi', 'langkah', 'juang', 'wakil', 'aspirasi', 'rakyat', 'nasdemantimahar', 'politiktanpamahar']","['suyoto', 'atau', 'sapa', 'kang', 'yoto', 'timur', 'di', 'tempuh', 'kang', 'yoto', 'untuk']"
9301,2018-11-04T13:50:28.000Z,Mudahan SIAPAPUN BESOK YG JADI PRESIDEN SEMOGA ANGGOTA DEWAN MEMBUAT RUU HUKUMAN MATI BAGI TERSANGKA KORUPTOR KRN KORUPTOR PENJAHAT NEGARA YG HARUS DI MUSNAHKAN DI INDONESIA indonesialeaks SumpahPemuda,mudah SIAPA BESOK YANG JADI PRESIDEN MOGA ANGGOTA DEWAN BUAT RUU HUKUM MATI BAGI SANGKA KORUPTOR KARENA KORUPTOR JAHAT NEGARA YANG HARUS DI MUSNAH DI INDONESIA indonesialeaks sumpahpemuda,0.6,0.15,0.8944271909999161,positive,"['mudah', 'SIAPA', 'BESOK', 'YANG', 'JADI', 'PRESIDEN', 'MOGA', 'ANGGOTA', 'DEWAN', 'BUAT', 'RUU', 'HUKUM', 'MATI', 'BAGI', 'SANGKA', 'KORUPTOR', 'KARENA', 'KORUPTOR', 'JAHAT', 'NEGARA', 'YANG', 'HARUS', 'DI', 'MUSNAH', 'DI', 'INDONESIA', 'indonesialeaks', 'sumpahpemuda']","['mudah', 'JADI', 'PRESIDEN', 'MOGA', 'ANGGOTA', 'DEWAN', 'BUAT', 'RUU', 'HUKUM', 'MATI', 'BAGI', 'SANGKA', 'KORUPTOR', 'KORUPTOR', 'JAHAT', 'NEGARA', 'MUSNAH', 'INDONESIA', 'indonesialeaks']","['BESOK', 'DI', 'DI', 'sumpahpemuda']"
9339,2018-11-01T01:19:14.000Z,Paripurna Setujui RUU Prioritas,paripurna tuju RUU prioritas,0.2,0.05,0.447213595499958,positive,"['paripurna', 'tuju', 'RUU', 'prioritas']","['paripurna', 'tuju', 'RUU', 'prioritas']",[]
9367,2018-10-31T05:30:40.000Z,Ketua Badan Legislasi DPR RI Supratman Andi Agtas menyerahkan Laporan Baleg DPR RI terkait hasil penyusunan Prolegnas RUU Prioritas Tahun kepada Pimpinan DPR RI dalam Rapat Paripurna DPR RI Ke Masa Persidangan I Tahun Sidang Rabu Oktober ParipurnaDPR,ketua badan legislasi DPR RI supratman andi agtas serah lapor baleg DPR RI kait hasil susun prolegnas RUU prioritas tahun kepada kepemimpinan DPR RI dalam rapat paripurna DPR RI ke masa sidang i tahun sidang rabu oktober paripurnadpr,0.0,0.0,0.0,neutral,"['ketua', 'badan', 'legislasi', 'DPR', 'RI', 'supratman', 'andi', 'agtas', 'serah', 'lapor', 'baleg', 'DPR', 'RI', 'kait', 'hasil', 'susun', 'prolegnas', 'RUU', 'prioritas', 'tahun', 'kepada', 'kepemimpinan', 'DPR', 'RI', 'dalam', 'rapat', 'paripurna', 'DPR', 'RI', 'ke', 'masa', 'sidang', 'i', 'tahun', 'sidang', 'rabu', 'oktober', 'paripurnadpr']","['ketua', 'badan', 'legislasi', 'DPR', 'RI', 'serah', 'lapor', 'baleg', 'DPR', 'RI', 'kait', 'hasil', 'prolegnas', 'RUU', 'prioritas', 'tahun', 'kepada', 'kepemimpinan', 'DPR', 'RI', 'dalam', 'rapat', 'paripurna', 'DPR', 'RI', 'masa', 'sidang', 'i', 'tahun', 'sidang', 'rabu', 'oktober', 'paripurnadpr']","['supratman', 'andi', 'agtas', 'susun', 'ke']"
9403,2018-10-28T12:56:54.000Z,Dgn berubahnya status TOL menjadi NON TOL maka investasi yg idealnya dikembalikan melalui operasi jalan TOL menjadi harus ditanggung APBN sepenuhnya Ini memerlukan koreksi pada pencatatan keuangan negara dan persetujuan DPR RI menurut saya sblm kebijakan ini diterapkan,dengan ubah status TOL jadi NON TOL maka investasi yang ideal kembali lalu operasi jalan TOL jadi harus pertanggungjawaban APBN sepenuh ini perlu koreksi pada catat uang negara dan tuju DPR RI turut saya belum kebijakan ini terap,0.0,0.0,0.0,neutral,"['dengan', 'ubah', 'status', 'TOL', 'jadi', 'NON', 'TOL', 'maka', 'investasi', 'yang', 'ideal', 'kembali', 'lalu', 'operasi', 'jalan', 'TOL', 'jadi', 'harus', 'pertanggungjawaban', 'APBN', 'sepenuh', 'ini', 'perlu', 'koreksi', 'pada', 'catat', 'uang', 'negara', 'dan', 'tuju', 'DPR', 'RI', 'turut', 'saya', 'belum', 'kebijakan', 'ini', 'terap']","['jadi', 'investasi', 'ideal', 'lalu', 'operasi', 'jadi', 'pertanggungjawaban', 'APBN', 'perlu', 'koreksi', 'negara', 'tuju', 'DPR', 'RI', 'turut', 'kebijakan']","['dengan', 'ubah', 'status', 'TOL', 'NON', 'TOL', 'maka', 'kembali', 'jalan', 'TOL', 'sepenuh', 'ini', 'catat', 'uang', 'dan', 'belum', 'ini', 'terap']"
9450,2018-10-26T13:00:32.000Z,Petisi tolak RUU Katekisasi,petisi penolakan RUU katekisasi,-1.0,-0.25,0.0,negative,"['petisi', 'penolakan', 'RUU', 'katekisasi']","['petisi', 'penolakan', 'RUU']",['katekisasi']
9460,2018-10-26T04:57:25.000Z,Berikan Gajinya Untuk Rakyat Anthony Siap Bangunkan DPR Kebijakan yang dilakukan anggota DPR RI selama ini nyaris tidak menyentuh persoalan masyarakat seutuhnya BangunkanDPR BersihkanDPR DPRLoyo DPRlambat DPRkosong DPRtidur politik,ikan gaji untuk rakyat anthony siap bangun DPR kebijakan yang pelaksanaan anggota DPR RI lama ini nyaris tidak sentuh soal masyarakat utuh bangunkandpr bersihkandpr dprloyo dprlambat dprkosong dprtidur politik,-2.2,-0.55,0.4472135954999579,negative,"['ikan', 'gaji', 'untuk', 'rakyat', 'anthony', 'siap', 'bangun', 'DPR', 'kebijakan', 'yang', 'pelaksanaan', 'anggota', 'DPR', 'RI', 'lama', 'ini', 'nyaris', 'tidak', 'sentuh', 'soal', 'masyarakat', 'utuh', 'bangunkandpr', 'bersihkandpr', 'dprloyo', 'dprlambat', 'dprkosong', 'dprtidur', 'politik']","['gaji', 'rakyat', 'siap', 'DPR', 'kebijakan', 'pelaksanaan', 'anggota', 'DPR', 'RI', 'lama', 'sentuh', 'soal', 'masyarakat', 'bangunkandpr', 'bersihkandpr', 'dprloyo', 'dprlambat', 'dprkosong', 'dprtidur', 'politik']","['ikan', 'untuk', 'anthony', 'bangun', 'ini', 'nyaris', 'utuh']"
9474,2018-10-25T13:32:11.000Z,Can you spare a minute to help Kezia Leli?,can you spare a mute tetapi help kezia leli ?,0.0,0.0,0.0,neutral,"['can', 'you', 'spare', 'a', 'mute', 'tetapi', 'help', 'kezia', 'leli', '?']",['help'],"['can', 'you', 'spare', 'a', 'mute', 'tetapi', 'kezia', 'leli', '?']"
9499,2018-10-25T01:02:50.000Z,Kepada Sekolah Minggu dan Katekisasi adalah Bukan pendidikan formal Yang tdk perlu Ijin dan batasan Peserta Mohon penjelasan dan pencerahannya knp hal ini masuk dalam RUU,kepada sekolah minggu dan katekisasi adalah bukan didik formal yang tidak perlu ijin dan batas serta mohon jelas dan cerah kenapa hal ini masuk dalam RUU,-0.8,-0.2,0.447213595499958,negative,"['kepada', 'sekolah', 'minggu', 'dan', 'katekisasi', 'adalah', 'bukan', 'didik', 'formal', 'yang', 'tidak', 'perlu', 'ijin', 'dan', 'batas', 'serta', 'mohon', 'jelas', 'dan', 'cerah', 'kenapa', 'hal', 'ini', 'masuk', 'dalam', 'RUU']","['kepada', 'sekolah', 'minggu', 'didik', 'formal', 'perlu', 'batas', 'serta', 'mohon', 'jelas', 'masuk', 'dalam', 'RUU']","['dan', 'katekisasi', 'adalah', 'ijin', 'dan', 'dan', 'cerah', 'kenapa', 'hal', 'ini']"
9590,2018-10-17T11:05:20.000Z,Komisi VIII DPR RI menggelar Rapat Dengar Pendapat Umum RDPU dengan Majelis Ulama Indonesia MUI dan tiga ormas keagamaan terdiri Perwakilan Umat Budha Indonesia Walubi Persekutuan Gereja Indonesia PGI dan Jaringan Ulama Perempuan Indonesia JUPI,komisi VII DPR RI gelar rapat dengar dapat umum RDPU dengan majelis ulama indonesia MUI dan tiga ormas agama diri wakil umat budha indonesia walubi sekutu gereja indonesia PAGI dan jaring ulama perempuan indonesia JUPI,0.2,0.05,0.447213595499958,positive,"['komisi', 'VII', 'DPR', 'RI', 'gelar', 'rapat', 'dengar', 'dapat', 'umum', 'RDPU', 'dengan', 'majelis', 'ulama', 'indonesia', 'MUI', 'dan', 'tiga', 'ormas', 'agama', 'diri', 'wakil', 'umat', 'budha', 'indonesia', 'walubi', 'sekutu', 'gereja', 'indonesia', 'PAGI', 'dan', 'jaring', 'ulama', 'perempuan', 'indonesia', 'JUPI']","['komisi', 'VII', 'DPR', 'RI', 'gelar', 'rapat', 'dengar', 'dapat', 'umum', 'RDPU', 'majelis', 'ulama', 'indonesia', 'ormas', 'agama', 'diri', 'wakil', 'umat', 'indonesia', 'sekutu', 'indonesia', 'PAGI', 'jaring', 'ulama', 'perempuan', 'indonesia']","['dengan', 'MUI', 'dan', 'tiga', 'budha', 'walubi', 'gereja', 'dan', 'JUPI']"
9593,2018-10-17T07:56:46.000Z,Badan Anggaran DPR Rapat Kerja dengan Menteri Keuangan Menteri PPN Kepala Bappenas Menteri Hukum dan HAM serta Gubernur Bank Indonesia terkait Pembicaraan Tk I Pembahasan RUU tentang APBN TA dan Pembahasan Postur Sementara RUU APBN Rabu Oktober BanggarDPR,badan anggaran DPR rapat kerja dengan menteri uang menteri PPN kepala bappenas menteri hukum dan HAM serta gubernur bank indonesia kait bicara tak i bahas RUU tentang APBN TA dan bahas postur sementara RUU APBN rabu oktober banggardpr,0.0,0.0,0.0,neutral,"['badan', 'anggaran', 'DPR', 'rapat', 'kerja', 'dengan', 'menteri', 'uang', 'menteri', 'PPN', 'kepala', 'bappenas', 'menteri', 'hukum', 'dan', 'HAM', 'serta', 'gubernur', 'bank', 'indonesia', 'kait', 'bicara', 'tak', 'i', 'bahas', 'RUU', 'tentang', 'APBN', 'TA', 'dan', 'bahas', 'postur', 'sementara', 'RUU', 'APBN', 'rabu', 'oktober', 'banggardpr']","['badan', 'anggaran', 'DPR', 'rapat', 'kerja', 'menteri', 'menteri', 'PPN', 'kepala', 'bappenas', 'menteri', 'hukum', 'HAM', 'serta', 'gubernur', 'indonesia', 'kait', 'i', 'bahas', 'RUU', 'tentang', 'APBN', 'TA', 'bahas', 'sementara', 'RUU', 'APBN', 'rabu', 'oktober', 'banggardpr']","['dengan', 'uang', 'dan', 'bank', 'bicara', 'tak', 'dan', 'postur']"
9632,2018-10-15T10:26:56.000Z,udah tau apa sih yg bener di mata ente kebijakan pak dan miris ada wakil rakyat kya ente,sudah tau apa sih yang banget di mata ente kebijakan pak dan miris ada wakil rakyat kaya ente,-2.2,-0.55,0.4472135954999579,negative,"['sudah', 'tau', 'apa', 'sih', 'yang', 'banget', 'di', 'mata', 'ente', 'kebijakan', 'pak', 'dan', 'miris', 'ada', 'wakil', 'rakyat', 'kaya', 'ente']","['tau', 'banget', 'mata', 'kebijakan', 'pak', 'miris', 'ada', 'wakil', 'rakyat', 'kaya']","['sih', 'di', 'ente', 'dan', 'ente']"
9646,2018-10-13T11:16:34.000Z,Jumat Oktober Badan Legislasi DPR RI melaksanakan diplomasi parlemen ke National Asemblea Ecuador terkait dengan pembahasan RUU Masyarakat Adat Pemerintah Ekuador telah,jumat oktober badan legislasi DPR RI laksana diplomasi parlemen ke national asemblea ecuador kait dengan bahas RUU masyarakat adat pemerintah ekuador telah,0.8,0.2,0.447213595499958,positive,"['jumat', 'oktober', 'badan', 'legislasi', 'DPR', 'RI', 'laksana', 'diplomasi', 'parlemen', 'ke', 'national', 'asemblea', 'ecuador', 'kait', 'dengan', 'bahas', 'RUU', 'masyarakat', 'adat', 'pemerintah', 'ekuador', 'telah']","['jumat', 'oktober', 'badan', 'legislasi', 'DPR', 'RI', 'diplomasi', 'parlemen', 'kait', 'bahas', 'RUU', 'masyarakat', 'pemerintah']","['laksana', 'ke', 'national', 'asemblea', 'ecuador', 'dengan', 'adat', 'ekuador', 'telah']"
9649,2018-10-12T16:15:53.000Z,Kesimpulan Utk Indonesia kebijakan BBM satu harga adalah suatu keniscayaan tdk akan berkelanjutan sebab BBM impor subsidi adalah penyebab melonjaknya konsumsi impor BBM penyebab defisit perdagangan migas defisit transaksi berjalan pemukul telak nilai tukar rupiah,simpul untuk indonesia kebijakan BBM satu harga adalah suatu niscaya tidak akan lanjut karena BBM impor subsidi adalah sebab lonjak konsumsi impor BBM sebab defisit dagang migas defisit transaksi jalan pukul telak nilai tukar rupiah,-0.4,-0.1,0.5477225575051662,negative,"['simpul', 'untuk', 'indonesia', 'kebijakan', 'BBM', 'satu', 'harga', 'adalah', 'suatu', 'niscaya', 'tidak', 'akan', 'lanjut', 'karena', 'BBM', 'impor', 'subsidi', 'adalah', 'sebab', 'lonjak', 'konsumsi', 'impor', 'BBM', 'sebab', 'defisit', 'dagang', 'migas', 'defisit', 'transaksi', 'jalan', 'pukul', 'telak', 'nilai', 'tukar', 'rupiah']","['simpul', 'indonesia', 'kebijakan', 'BBM', 'satu', 'harga', 'lanjut', 'BBM', 'impor', 'subsidi', 'sebab', 'impor', 'BBM', 'sebab', 'defisit', 'migas', 'defisit', 'transaksi', 'pukul', 'telak', 'nilai', 'tukar']","['untuk', 'adalah', 'suatu', 'niscaya', 'akan', 'adalah', 'lonjak', 'konsumsi', 'dagang', 'jalan', 'rupiah']"
9682,2018-10-10T04:22:23.000Z,Jokowi Jangan Sampai Kita Diadu oleh Kepentingan Politik via,jokowi jangan sampai kita adu oleh penting politik via,0.0,0.0,0.0,neutral,"['jokowi', 'jangan', 'sampai', 'kita', 'adu', 'oleh', 'penting', 'politik', 'via']","['jokowi', 'sampai', 'kita', 'adu', 'penting', 'politik']",['via']
9687,2018-10-09T14:06:46.000Z,DPDRI DPD RI DPR RI Bahas RUU Tentang Daerah Kepulauan Jakarta DPD RI membahas Rancangan Undang undang RUU tentang Daerah Kepulauan dengan DPR RI RUU yang diinisiasi oleh DPD tersebut,DPDRI DPD RI DPR RI bahas RUU tentang daerah pulau jakarta DPD RI bahas rancangan undang undang RUU tentang daerah pulau dengan DPR RI RUU yang inisiasi oleh DPD sebut,0.2,0.05,0.447213595499958,positive,"['DPDRI', 'DPD', 'RI', 'DPR', 'RI', 'bahas', 'RUU', 'tentang', 'daerah', 'pulau', 'jakarta', 'DPD', 'RI', 'bahas', 'rancangan', 'undang', 'undang', 'RUU', 'tentang', 'daerah', 'pulau', 'dengan', 'DPR', 'RI', 'RUU', 'yang', 'inisiasi', 'oleh', 'DPD', 'sebut']","['DPDRI', 'DPD', 'RI', 'DPR', 'RI', 'bahas', 'RUU', 'tentang', 'daerah', 'jakarta', 'DPD', 'RI', 'bahas', 'rancangan', 'undang', 'undang', 'RUU', 'tentang', 'daerah', 'DPR', 'RI', 'RUU', 'DPD']","['pulau', 'pulau', 'dengan', 'inisiasi', 'sebut']"
9706,2018-10-08T14:33:33.000Z,Mohon kepada sebagai pemangku kebijakan dan penegak hukum bisa mensikapi hasil lembaga tinggi neg yang sudah menyelesaikan audit investigasi thdp Pelindo II Ini semata untuk Nawacita dan Kedaulatan NKRI,mohon kepada bagai mang kebijakan dan tegak hukum dapat sikap hasil lembaga tinggi neg yang sudah selesai audit investigasi hadap pelindo II ini semata untuk nawacita dan daulat NKRI,0.8,0.2,0.447213595499958,positive,"['mohon', 'kepada', 'bagai', 'mang', 'kebijakan', 'dan', 'tegak', 'hukum', 'dapat', 'sikap', 'hasil', 'lembaga', 'tinggi', 'neg', 'yang', 'sudah', 'selesai', 'audit', 'investigasi', 'hadap', 'pelindo', 'II', 'ini', 'semata', 'untuk', 'nawacita', 'dan', 'daulat', 'NKRI']","['mohon', 'kepada', 'kebijakan', 'hukum', 'dapat', 'sikap', 'hasil', 'lembaga', 'tinggi', 'selesai', 'audit', 'investigasi', 'II', 'daulat', 'NKRI']","['bagai', 'mang', 'dan', 'tegak', 'neg', 'hadap', 'pelindo', 'ini', 'semata', 'untuk', 'nawacita', 'dan']"
