no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,unmatched_words,filtered_tokens,filtered_word_scores
9054,2018-11-26T10:15:06.000Z,Wakil Ketua menyampaikan banyaknya anggota DPR yang tidak hadir di DPR pada tahun pemilu tidak akan menghambat kinerja DPR sebagai lembaga pembuat Undang undang atau legislasi CNNIDNewsroom,wakil ketua sampai banyak anggota DPR yang tidak hadir di DPR pada tahun pemilu tidak akan hambat kerja DPR bagai lembaga buat undang undang atau legislasi cnnidnewsroom,-0.8,-0.2,0.447213595499958,negative,"['wakil', 'ketua', 'sampai', 'banyak', 'anggota', 'DPR', 'yang', 'tidak', 'hadir', 'di', 'DPR', 'pada', 'tahun', 'pemilu', 'tidak', 'akan', 'hambat', 'kerja', 'DPR', 'bagai', 'lembaga', 'buat', 'undang', 'undang', 'atau', 'legislasi', 'cnnidnewsroom']","['wakil', 'ketua', 'sampai', 'banyak', 'anggota', 'DPR', 'yang', 'tidak', 'hadir', 'DPR', 'pada', 'tahun', 'pemilu', 'tidak', 'hambat', 'kerja', 'DPR', 'lembaga', 'buat', 'undang', 'undang', 'legislasi']","['di', 'akan', 'bagai', 'atau', 'cnnidnewsroom']","['wakil', 'ketua', 'sampai', 'banyak', 'anggota', 'DPR', 'yang', 'tidak', 'hadir', 'di', 'DPR', 'pada', 'tahun', 'pemilu', 'tidak', 'akan', 'hambat', 'kerja', 'DPR', 'bagai', 'lembaga', 'buat', 'undang', 'undang', 'atau', 'legislasi', 'cnnidnewsroom']","[{'word': 'wakil', 'score': 0.0, 'matched': True}, {'word': 'ketua', 'score': 0.0, 'matched': True}, {'word': 'sampai', 'score': 1.6, 'matched': True}, {'word': 'banyak', 'score': 0.0, 'matched': True}, {'word': 'anggota', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'yang', 'score': -4.0, 'matched': True}, {'word': 'tidak', 'score': -4.0, 'matched': True}, {'word': 'hadir', 'score': 1.6, 'matched': True}, {'word': 'di', 'score': 0.0, 'matched': False}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'pada', 'score': -2.4000000000000004, 'matched': True}, {'word': 'tahun', 'score': 0.0, 'matched': True}, {'word': 'pemilu', 'score': 0.0, 'matched': True}, {'word': 'tidak', 'score': -4.0, 'matched': True}, {'word': 'akan', 'score': 0.0, 'matched': False}, {'word': 'hambat', 'score': -3.2, 'matched': True}, {'word': 'kerja', 'score': 1.6, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'bagai', 'score': 0.0, 'matched': False}, {'word': 'lembaga', 'score': 0.0, 'matched': True}, {'word': 'buat', 'score': 0.8, 'matched': True}, {'word': 'undang', 'score': 0.0, 'matched': True}, {'word': 'undang', 'score': 0.0, 'matched': True}, {'word': 'atau', 'score': 0.0, 'matched': False}, {'word': 'legislasi', 'score': 0.0, 'matched': True}, {'word': 'cnnidnewsroom', 'score': 0.0, 'matched': False}]"
9067,2018-11-25T18:07:39.000Z,urusannya Fadli zon ke Sandiaga Uno apa ya? Fadli Zon anggota DPR yg mewakili aspirasi rakyat ke Pemerintah Apa pemerintahnya Sandiaga Uno? Oiya baca berita sdh ada permintaan maafnya Noh yg Hoax es em ka dan dana Gempa di Lombok g pernah mnta maaf,urus fadli zon ke sandiaga uno apa ya ? fadli zon anggota DPR yang wakil aspirasi rakyat ke pemerintah apa pemerintah sandiaga uno ? oiya baca berita sudah ada minta maaf noh yang hoax es em kak dan dana gempa di lombok tidak pernah minta maaf,-0.2,-0.05,0.447213595499958,negative,"['urus', 'fadli', 'zon', 'ke', 'sandiaga', 'uno', 'apa', 'ya', '?', 'fadli', 'zon', 'anggota', 'DPR', 'yang', 'wakil', 'aspirasi', 'rakyat', 'ke', 'pemerintah', 'apa', 'pemerintah', 'sandiaga', 'uno', '?', 'oiya', 'baca', 'berita', 'sudah', 'ada', 'minta', 'maaf', 'noh', 'yang', 'hoax', 'es', 'em', 'kak', 'dan', 'dana', 'gempa', 'di', 'lombok', 'tidak', 'pernah', 'minta', 'maaf']","['sandiaga', 'apa', 'ya', 'anggota', 'DPR', 'yang', 'wakil', 'aspirasi', 'rakyat', 'pemerintah', 'apa', 'pemerintah', 'sandiaga', 'baca', 'berita', 'sudah', 'ada', 'minta', 'maaf', 'yang', 'hoax', 'dana', 'gempa', 'tidak', 'minta', 'maaf']","['urus', 'fadli', 'zon', 'ke', 'uno', '?', 'fadli', 'zon', 'ke', 'uno', '?', 'oiya', 'noh', 'es', 'em', 'kak', 'dan', 'di', 'lombok', 'pernah']","['urus', 'fadli', 'zon', 'ke', 'sandiaga', 'uno', 'apa', 'ya', '?', 'fadli', 'zon', 'anggota', 'DPR', 'yang', 'wakil', 'aspirasi', 'rakyat', 'ke', 'pemerintah', 'apa', 'pemerintah', 'sandiaga', 'uno', '?', 'oiya', 'baca', 'berita', 'sudah', 'ada', 'minta', 'maaf', 'noh', 'yang', 'hoax', 'es', 'em', 'kak', 'dan', 'dana', 'gempa', 'di', 'lombok', 'tidak', 'pernah', 'minta', 'maaf']","[{'word': 'urus', 'score': 0.0, 'matched': False}, {'word': 'fadli', 'score': 0.0, 'matched': False}, {'word': 'zon', 'score': 0.0, 'matched': False}, {'word': 'ke', 'score': 0.0, 'matched': False}, {'word': 'sandiaga', 'score': 0.0, 'matched': True}, {'word': 'uno', 'score': 0.0, 'matched': False}, {'word': 'apa', 'score': -2.4000000000000004, 'matched': True}, {'word': 'ya', 'score': 0.0, 'matched': True}, {'word': '?', 'score': 0.0, 'matched': False}, {'word': 'fadli', 'score': 0.0, 'matched': False}, {'word': 'zon', 'score': 0.0, 'matched': False}, {'word': 'anggota', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'yang', 'score': -4.0, 'matched': True}, {'word': 'wakil', 'score': 0.0, 'matched': True}, {'word': 'aspirasi', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'ke', 'score': 0.0, 'matched': False}, {'word': 'pemerintah', 'score': 0.0, 'matched': True}, {'word': 'apa', 'score': -2.4000000000000004, 'matched': True}, {'word': 'pemerintah', 'score': 0.0, 'matched': True}, {'word': 'sandiaga', 'score': 0.0, 'matched': True}, {'word': 'uno', 'score': 0.0, 'matched': False}, {'word': '?', 'score': 0.0, 'matched': False}, {'word': 'oiya', 'score': 0.0, 'matched': False}, {'word': 'baca', 'score': 2.4000000000000004, 'matched': True}, {'word': 'berita', 'score': -3.2, 'matched': True}, {'word': 'sudah', 'score': 0.0, 'matched': True}, {'word': 'ada', 'score': 0.0, 'matched': True}, {'word': 'minta', 'score': 1.6, 'matched': True}, {'word': 'maaf', 'score': 1.6, 'matched': True}, {'word': 'noh', 'score': 0.0, 'matched': False}, {'word': 'yang', 'score': -4.0, 'matched': True}, {'word': 'hoax', 'score': -1.6, 'matched': True}, {'word': 'es', 'score': 0.0, 'matched': False}, {'word': 'em', 'score': 0.0, 'matched': False}, {'word': 'kak', 'score': 0.0, 'matched': False}, {'word': 'dan', 'score': 0.0, 'matched': False}, {'word': 'dana', 'score': 3.2, 'matched': True}, {'word': 'gempa', 'score': 3.2, 'matched': True}, {'word': 'di', 'score': 0.0, 'matched': False}, {'word': 'lombok', 'score': 0.0, 'matched': False}, {'word': 'tidak', 'score': -4.0, 'matched': True}, {'word': 'pernah', 'score': 0.0, 'matched': False}, {'word': 'minta', 'score': 1.6, 'matched': True}, {'word': 'maaf', 'score': 1.6, 'matched': True}]"
9140,2018-11-21T03:54:35.000Z,Rapat Paripurna DPR RI dengan agenda Pidato Pembukaan Masa Persidangan II Tahun Sidang dan Pelantikan Anggota Pengganti Antar Waktu DPR RI Rabu November ParipurnaDPR,rapat paripurna DPR RI dengan agenda pidato buka masa sidang II tahun sidang dan lantik anggota ganti antar waktu DPR RI rabu november paripurnadpr,0.0,0.0,0.0,neutral,"['rapat', 'paripurna', 'DPR', 'RI', 'dengan', 'agenda', 'pidato', 'buka', 'masa', 'sidang', 'II', 'tahun', 'sidang', 'dan', 'lantik', 'anggota', 'ganti', 'antar', 'waktu', 'DPR', 'RI', 'rabu', 'november', 'paripurnadpr']","['rapat', 'paripurna', 'DPR', 'RI', 'agenda', 'pidato', 'buka', 'masa', 'sidang', 'II', 'tahun', 'sidang', 'lantik', 'anggota', 'ganti', 'waktu', 'DPR', 'RI', 'rabu', 'november', 'paripurnadpr']","['dengan', 'dan', 'antar']","['rapat', 'paripurna', 'DPR', 'RI', 'dengan', 'agenda', 'pidato', 'buka', 'masa', 'sidang', 'II', 'tahun', 'sidang', 'dan', 'lantik', 'anggota', 'ganti', 'antar', 'waktu', 'DPR', 'RI', 'rabu', 'november', 'paripurnadpr']","[{'word': 'rapat', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'dengan', 'score': 0.0, 'matched': False}, {'word': 'agenda', 'score': 0.0, 'matched': True}, {'word': 'pidato', 'score': 0.0, 'matched': True}, {'word': 'buka', 'score': 2.4000000000000004, 'matched': True}, {'word': 'masa', 'score': 0.0, 'matched': True}, {'word': 'sidang', 'score': 0.0, 'matched': True}, {'word': 'II', 'score': 0.0, 'matched': True}, {'word': 'tahun', 'score': 0.0, 'matched': True}, {'word': 'sidang', 'score': 0.0, 'matched': True}, {'word': 'dan', 'score': 0.0, 'matched': False}, {'word': 'lantik', 'score': 2.4000000000000004, 'matched': True}, {'word': 'anggota', 'score': 0.0, 'matched': True}, {'word': 'ganti', 'score': 2.4000000000000004, 'matched': True}, {'word': 'antar', 'score': 0.0, 'matched': False}, {'word': 'waktu', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'rabu', 'score': 0.0, 'matched': True}, {'word': 'november', 'score': 0.0, 'matched': True}, {'word': 'paripurnadpr', 'score': 0.0, 'matched': True}]"
9161,2018-11-19T02:37:20.000Z,Menjadi wakil rakyat di DPR RI bukanlah hal yang patut dibanggakan apalagi di agungkan tetapi ada hal yang harus digaris bawahi adalah ketika kita bisa menyerap aspirasi rakyat bisa dekat dengan rakyat lalu saya tunaikan semua aspirasinya SudiroasnoNoHANURAJABARVIII,jadi wakil rakyat di DPR RI bukan hal yang patut bangga apalagi di agung tetapi ada hal yang harus gar bawah adalah ketika kita dapat serap aspirasi rakyat dapat dekat dengan rakyat lalu saya tunai semua aspirasi sudiroasnonohanurajabarvii,0.8,0.2,0.447213595499958,positive,"['jadi', 'wakil', 'rakyat', 'di', 'DPR', 'RI', 'bukan', 'hal', 'yang', 'patut', 'bangga', 'apalagi', 'di', 'agung', 'tetapi', 'ada', 'hal', 'yang', 'harus', 'gar', 'bawah', 'adalah', 'ketika', 'kita', 'dapat', 'serap', 'aspirasi', 'rakyat', 'dapat', 'dekat', 'dengan', 'rakyat', 'lalu', 'saya', 'tunai', 'semua', 'aspirasi', 'sudiroasnonohanurajabarvii']","['jadi', 'wakil', 'rakyat', 'DPR', 'RI', 'bukan', 'yang', 'patut', 'bangga', 'ada', 'yang', 'harus', 'kita', 'dapat', 'aspirasi', 'rakyat', 'dapat', 'dekat', 'rakyat', 'lalu', 'saya', 'tunai', 'semua', 'aspirasi']","['di', 'hal', 'apalagi', 'di', 'agung', 'tetapi', 'hal', 'gar', 'bawah', 'adalah', 'ketika', 'serap', 'dengan', 'sudiroasnonohanurajabarvii']","['jadi', 'wakil', 'rakyat', 'di', 'DPR', 'RI', 'bukan', 'hal', 'yang', 'patut', 'bangga', 'apalagi', 'di', 'agung', 'tetapi', 'ada', 'hal', 'yang', 'harus', 'gar', 'bawah', 'adalah', 'ketika', 'kita', 'dapat', 'serap', 'aspirasi', 'rakyat', 'dapat', 'dekat', 'dengan', 'rakyat', 'lalu', 'saya', 'tunai', 'semua', 'aspirasi', 'sudiroasnonohanurajabarvii']","[{'word': 'jadi', 'score': 0.8, 'matched': True}, {'word': 'wakil', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'di', 'score': 0.0, 'matched': False}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'bukan', 'score': -2.4000000000000004, 'matched': True}, {'word': 'hal', 'score': 0.0, 'matched': False}, {'word': 'yang', 'score': -4.0, 'matched': True}, {'word': 'patut', 'score': 1.6, 'matched': True}, {'word': 'bangga', 'score': 1.2000000000000002, 'matched': True}, {'word': 'apalagi', 'score': 0.0, 'matched': False}, {'word': 'di', 'score': 0.0, 'matched': False}, {'word': 'agung', 'score': 0.0, 'matched': False}, {'word': 'tetapi', 'score': 0.0, 'matched': False}, {'word': 'ada', 'score': 0.0, 'matched': True}, {'word': 'hal', 'score': 0.0, 'matched': False}, {'word': 'yang', 'score': -4.0, 'matched': True}, {'word': 'harus', 'score': -4.0, 'matched': True}, {'word': 'gar', 'score': 0.0, 'matched': False}, {'word': 'bawah', 'score': 0.0, 'matched': False}, {'word': 'adalah', 'score': 0.0, 'matched': False}, {'word': 'ketika', 'score': 0.0, 'matched': False}, {'word': 'kita', 'score': 0.0, 'matched': True}, {'word': 'dapat', 'score': 1.6, 'matched': True}, {'word': 'serap', 'score': 0.0, 'matched': False}, {'word': 'aspirasi', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'dapat', 'score': 1.6, 'matched': True}, {'word': 'dekat', 'score': 0.8, 'matched': True}, {'word': 'dengan', 'score': 0.0, 'matched': False}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'lalu', 'score': 0.0, 'matched': True}, {'word': 'saya', 'score': -2.4000000000000004, 'matched': True}, {'word': 'tunai', 'score': 2.4000000000000004, 'matched': True}, {'word': 'semua', 'score': 0.0, 'matched': True}, {'word': 'aspirasi', 'score': 0.0, 'matched': True}, {'word': 'sudiroasnonohanurajabarvii', 'score': 0.0, 'matched': False}]"
9187,2018-11-16T11:51:13.000Z,Reses dpr_ri di SMK Muhammadiyah Bandung asyik deh Sekolah ini punya jurusan Agribisnis salah satu pengembangannya berkebun jamur tiram Besar ya Bersih lagi Dan Begitu,reses dpr_ri di SMK muhammadiyah bandung asyik deh sekolah ini punya jurus agribisnis salah satu kembang kebun jamur tiram besar ya bersih lagi dan begitu,1.0,0.25,0.0,positive,"['reses', 'dpr_ri', 'di', 'SMK', 'muhammadiyah', 'bandung', 'asyik', 'deh', 'sekolah', 'ini', 'punya', 'jurus', 'agribisnis', 'salah', 'satu', 'kembang', 'kebun', 'jamur', 'tiram', 'besar', 'ya', 'bersih', 'lagi', 'dan', 'begitu']","['reses', 'dpr_ri', 'bandung', 'asyik', 'sekolah', 'punya', 'salah', 'satu', 'kembang', 'kebun', 'besar', 'ya', 'bersih', 'lagi']","['di', 'SMK', 'muhammadiyah', 'deh', 'ini', 'jurus', 'agribisnis', 'jamur', 'tiram', 'dan', 'begitu']","['reses', 'dpr_ri', 'di', 'SMK', 'muhammadiyah', 'bandung', 'asyik', 'deh', 'sekolah', 'ini', 'punya', 'jurus', 'agribisnis', 'salah', 'satu', 'kembang', 'kebun', 'jamur', 'tiram', 'besar', 'ya', 'bersih', 'lagi', 'dan', 'begitu']","[{'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'dpr_ri', 'score': 0.0, 'matched': True}, {'word': 'di', 'score': 0.0, 'matched': False}, {'word': 'SMK', 'score': 0.0, 'matched': False}, {'word': 'muhammadiyah', 'score': 0.0, 'matched': False}, {'word': 'bandung', 'score': -0.8, 'matched': True}, {'word': 'asyik', 'score': 0.4, 'matched': True}, {'word': 'deh', 'score': 0.0, 'matched': False}, {'word': 'sekolah', 'score': 2.4000000000000004, 'matched': True}, {'word': 'ini', 'score': 0.0, 'matched': False}, {'word': 'punya', 'score': 0.0, 'matched': True}, {'word': 'jurus', 'score': 0.0, 'matched': False}, {'word': 'agribisnis', 'score': 0.0, 'matched': False}, {'word': 'salah', 'score': -3.2, 'matched': True}, {'word': 'satu', 'score': 0.0, 'matched': True}, {'word': 'kembang', 'score': 2.4000000000000004, 'matched': True}, {'word': 'kebun', 'score': -3.2, 'matched': True}, {'word': 'jamur', 'score': 0.0, 'matched': False}, {'word': 'tiram', 'score': 0.0, 'matched': False}, {'word': 'besar', 'score': 3.2, 'matched': True}, {'word': 'ya', 'score': 0.0, 'matched': True}, {'word': 'bersih', 'score': 0.8, 'matched': True}, {'word': 'lagi', 'score': -2.4000000000000004, 'matched': True}, {'word': 'dan', 'score': 0.0, 'matched': False}, {'word': 'begitu', 'score': 0.0, 'matched': False}]"
9190,2018-11-15T23:56:56.000Z,Warga Minta Diperjuangkan Yoseph Bangun Bendungan Cipanundan CIREBON Kegiatan reses di Kecamatan Waled Anggota Komisi DPR RI Dapil VIII Yoseph Umarhadi berdialog dan menyerap aspirasi para kepala desa pukul Dalam dialog dengan para,warga minta juang yoseph bangun bendung cipanundan CIREBON giat reses di camat waled anggota komisi DPR RI dapil VII yoseph umarhadi dialog dan serap aspirasi para kepala desa pukul dalam dialog dengan para,0.8,0.2,0.447213595499958,positive,"['warga', 'minta', 'juang', 'yoseph', 'bangun', 'bendung', 'cipanundan', 'CIREBON', 'giat', 'reses', 'di', 'camat', 'waled', 'anggota', 'komisi', 'DPR', 'RI', 'dapil', 'VII', 'yoseph', 'umarhadi', 'dialog', 'dan', 'serap', 'aspirasi', 'para', 'kepala', 'desa', 'pukul', 'dalam', 'dialog', 'dengan', 'para']","['warga', 'minta', 'juang', 'bendung', 'CIREBON', 'reses', 'anggota', 'komisi', 'DPR', 'RI', 'dapil', 'VII', 'dialog', 'aspirasi', 'para', 'kepala', 'desa', 'pukul', 'dalam', 'dialog', 'para']","['yoseph', 'bangun', 'cipanundan', 'giat', 'di', 'camat', 'waled', 'yoseph', 'umarhadi', 'dan', 'serap', 'dengan']","['warga', 'minta', 'juang', 'yoseph', 'bangun', 'bendung', 'cipanundan', 'CIREBON', 'giat', 'reses', 'di', 'camat', 'waled', 'anggota', 'komisi', 'DPR', 'RI', 'dapil', 'VII', 'yoseph', 'umarhadi', 'dialog', 'dan', 'serap', 'aspirasi', 'para', 'kepala', 'desa', 'pukul', 'dalam', 'dialog', 'dengan', 'para']","[{'word': 'warga', 'score': 0.0, 'matched': True}, {'word': 'minta', 'score': 1.6, 'matched': True}, {'word': 'juang', 'score': 2.4000000000000004, 'matched': True}, {'word': 'yoseph', 'score': 0.0, 'matched': False}, {'word': 'bangun', 'score': 0.0, 'matched': False}, {'word': 'bendung', 'score': -2.4000000000000004, 'matched': True}, {'word': 'cipanundan', 'score': 0.0, 'matched': False}, {'word': 'CIREBON', 'score': 0.0, 'matched': True}, {'word': 'giat', 'score': 0.0, 'matched': False}, {'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'di', 'score': 0.0, 'matched': False}, {'word': 'camat', 'score': 0.0, 'matched': False}, {'word': 'waled', 'score': 0.0, 'matched': False}, {'word': 'anggota', 'score': 0.0, 'matched': True}, {'word': 'komisi', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'dapil', 'score': 0.0, 'matched': True}, {'word': 'VII', 'score': 0.0, 'matched': True}, {'word': 'yoseph', 'score': 0.0, 'matched': False}, {'word': 'umarhadi', 'score': 0.0, 'matched': False}, {'word': 'dialog', 'score': 0.0, 'matched': True}, {'word': 'dan', 'score': 0.0, 'matched': False}, {'word': 'serap', 'score': 0.0, 'matched': False}, {'word': 'aspirasi', 'score': 0.0, 'matched': True}, {'word': 'para', 'score': 1.6, 'matched': True}, {'word': 'kepala', 'score': 0.0, 'matched': True}, {'word': 'desa', 'score': 0.0, 'matched': True}, {'word': 'pukul', 'score': 0.8, 'matched': True}, {'word': 'dalam', 'score': 2.4000000000000004, 'matched': True}, {'word': 'dialog', 'score': 0.0, 'matched': True}, {'word': 'dengan', 'score': 0.0, 'matched': False}, {'word': 'para', 'score': 1.6, 'matched': True}]"
9219,2018-11-12T12:17:01.000Z,Semoga didengar oleh para pemangku Kebijakan PLD,moga dengar oleh para mang kebijakan PLD,0.6,0.15,0.5477225575051662,positive,"['moga', 'dengar', 'oleh', 'para', 'mang', 'kebijakan', 'PLD']","['moga', 'dengar', 'oleh', 'para', 'kebijakan']","['mang', 'PLD']","['moga', 'dengar', 'oleh', 'para', 'mang', 'kebijakan', 'PLD']","[{'word': 'moga', 'score': 0.8, 'matched': True}, {'word': 'dengar', 'score': 1.6, 'matched': True}, {'word': 'oleh', 'score': 0.0, 'matched': True}, {'word': 'para', 'score': 1.6, 'matched': True}, {'word': 'mang', 'score': 0.0, 'matched': False}, {'word': 'kebijakan', 'score': 0.0, 'matched': True}, {'word': 'PLD', 'score': 0.0, 'matched': False}]"
9222,2018-11-12T08:59:30.000Z,Rapat Paripurna Dewan Perwakilan Rakyat Daerah Kota Tangerang Selatan dalam rangka Jawaban Walikota Tangerang Selatan terhadap Pandangan Umum Fraksi Fraksi tentang Raperda APBD Tahun,rapat paripurna dewan wakil rakyat daerah kota tangerang selatan dalam rangka jawab walikota tangerang selatan hadap pandang umum partai partai tentang raperda APBD tahun,0.0,0.0,0.0,neutral,"['rapat', 'paripurna', 'dewan', 'wakil', 'rakyat', 'daerah', 'kota', 'tangerang', 'selatan', 'dalam', 'rangka', 'jawab', 'walikota', 'tangerang', 'selatan', 'hadap', 'pandang', 'umum', 'partai', 'partai', 'tentang', 'raperda', 'APBD', 'tahun']","['rapat', 'paripurna', 'dewan', 'wakil', 'rakyat', 'daerah', 'kota', 'tangerang', 'selatan', 'dalam', 'rangka', 'jawab', 'walikota', 'tangerang', 'selatan', 'pandang', 'umum', 'partai', 'partai', 'tentang', 'raperda', 'APBD', 'tahun']",['hadap'],"['rapat', 'paripurna', 'dewan', 'wakil', 'rakyat', 'daerah', 'kota', 'tangerang', 'selatan', 'dalam', 'rangka', 'jawab', 'walikota', 'tangerang', 'selatan', 'hadap', 'pandang', 'umum', 'partai', 'partai', 'tentang', 'raperda', 'APBD', 'tahun']","[{'word': 'rapat', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'dewan', 'score': 0.0, 'matched': True}, {'word': 'wakil', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'daerah', 'score': 0.0, 'matched': True}, {'word': 'kota', 'score': -0.8, 'matched': True}, {'word': 'tangerang', 'score': 0.0, 'matched': True}, {'word': 'selatan', 'score': 0.0, 'matched': True}, {'word': 'dalam', 'score': 2.4000000000000004, 'matched': True}, {'word': 'rangka', 'score': 0.0, 'matched': True}, {'word': 'jawab', 'score': 2.4000000000000004, 'matched': True}, {'word': 'walikota', 'score': 0.0, 'matched': True}, {'word': 'tangerang', 'score': 0.0, 'matched': True}, {'word': 'selatan', 'score': 0.0, 'matched': True}, {'word': 'hadap', 'score': 0.0, 'matched': False}, {'word': 'pandang', 'score': 0.8, 'matched': True}, {'word': 'umum', 'score': 0.8, 'matched': True}, {'word': 'partai', 'score': 0.0, 'matched': True}, {'word': 'partai', 'score': 0.0, 'matched': True}, {'word': 'tentang', 'score': 0.8, 'matched': True}, {'word': 'raperda', 'score': 0.0, 'matched': True}, {'word': 'APBD', 'score': 0.0, 'matched': True}, {'word': 'tahun', 'score': 0.0, 'matched': True}]"
9236,2018-11-10T05:17:38.000Z,Revisi undang undang penyiarannya gimana halloo udah bertahun tahun belum selesai,revisi undang undang siar bagaimana halloo sudah tahun tahun belum selesai,-1.8,-0.45,0.447213595499958,negative,"['revisi', 'undang', 'undang', 'siar', 'bagaimana', 'halloo', 'sudah', 'tahun', 'tahun', 'belum', 'selesai']","['revisi', 'undang', 'undang', 'sudah', 'tahun', 'tahun', 'selesai']","['siar', 'bagaimana', 'halloo', 'belum']","['revisi', 'undang', 'undang', 'siar', 'bagaimana', 'halloo', 'sudah', 'tahun', 'tahun', 'belum', 'selesai']","[{'word': 'revisi', 'score': 0.0, 'matched': True}, {'word': 'undang', 'score': 0.0, 'matched': True}, {'word': 'undang', 'score': 0.0, 'matched': True}, {'word': 'siar', 'score': 0.0, 'matched': False}, {'word': 'bagaimana', 'score': 0.0, 'matched': False}, {'word': 'halloo', 'score': 0.0, 'matched': False}, {'word': 'sudah', 'score': 0.0, 'matched': True}, {'word': 'tahun', 'score': 0.0, 'matched': True}, {'word': 'tahun', 'score': 0.0, 'matched': True}, {'word': 'belum', 'score': 0.0, 'matched': False}, {'word': 'selesai', 'score': 1.6, 'matched': True}]"
9245,2018-11-09T11:44:58.000Z,Rapat Paripurna Dewan Perwakilan Rakyat Derah Provinsi Jawa Barat Jumat Agenda Perubahan Hasil Banmus Pengambilan Sumpah Janji Anggota DPRD Provinsi Jawa Barat Pengganti Antar Waktu PAW,rapat paripurna dewan wakil rakyat dah provinsi jawa barat jumat agenda ubah hasil banmus ambil sumpah janji anggota DPRD provinsi jawa barat ganti antar waktu PAW,0.0,0.0,0.0,neutral,"['rapat', 'paripurna', 'dewan', 'wakil', 'rakyat', 'dah', 'provinsi', 'jawa', 'barat', 'jumat', 'agenda', 'ubah', 'hasil', 'banmus', 'ambil', 'sumpah', 'janji', 'anggota', 'DPRD', 'provinsi', 'jawa', 'barat', 'ganti', 'antar', 'waktu', 'PAW']","['rapat', 'paripurna', 'dewan', 'wakil', 'rakyat', 'dah', 'provinsi', 'jawa', 'barat', 'jumat', 'agenda', 'hasil', 'ambil', 'sumpah', 'anggota', 'DPRD', 'provinsi', 'jawa', 'barat', 'ganti', 'waktu']","['ubah', 'banmus', 'janji', 'antar', 'PAW']","['rapat', 'paripurna', 'dewan', 'wakil', 'rakyat', 'dah', 'provinsi', 'jawa', 'barat', 'jumat', 'agenda', 'ubah', 'hasil', 'banmus', 'ambil', 'sumpah', 'janji', 'anggota', 'DPRD', 'provinsi', 'jawa', 'barat', 'ganti', 'antar', 'waktu', 'PAW']","[{'word': 'rapat', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'dewan', 'score': 0.0, 'matched': True}, {'word': 'wakil', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'dah', 'score': -2.4000000000000004, 'matched': True}, {'word': 'provinsi', 'score': 0.0, 'matched': True}, {'word': 'jawa', 'score': 0.0, 'matched': True}, {'word': 'barat', 'score': 0.0, 'matched': True}, {'word': 'jumat', 'score': 0.0, 'matched': True}, {'word': 'agenda', 'score': 0.0, 'matched': True}, {'word': 'ubah', 'score': 0.0, 'matched': False}, {'word': 'hasil', 'score': 2.4000000000000004, 'matched': True}, {'word': 'banmus', 'score': 0.0, 'matched': False}, {'word': 'ambil', 'score': -4.0, 'matched': True}, {'word': 'sumpah', 'score': 2.4000000000000004, 'matched': True}, {'word': 'janji', 'score': 0.0, 'matched': False}, {'word': 'anggota', 'score': 0.0, 'matched': True}, {'word': 'DPRD', 'score': 0.0, 'matched': True}, {'word': 'provinsi', 'score': 0.0, 'matched': True}, {'word': 'jawa', 'score': 0.0, 'matched': True}, {'word': 'barat', 'score': 0.0, 'matched': True}, {'word': 'ganti', 'score': 2.4000000000000004, 'matched': True}, {'word': 'antar', 'score': 0.0, 'matched': False}, {'word': 'waktu', 'score': 0.0, 'matched': True}, {'word': 'PAW', 'score': 0.0, 'matched': False}]"
